,category,legName,pieceName,content
10,family,Kandyan Marriage and Divorce Act,7-Legitimization of illegitimate children.txt,A valid Kandyan marriage shall render legitimate any children who may have been procreated (whether before or after the appointed date) by the parties thereto previous to such marriage and children so legitimized shall be entitled to the same and the like rights as if they had been procreated by the parties thereto subsequent to such marriage.
11,family,Kandyan Marriage and Divorce Act,8-Consent required to marriage of minor.txt,"(1) The consent of a competent authority is hereby required to the marriage under this Act of a minor subject to Kandyan law.

(2) For the purposes of this Act, the expression ” competent authority”, in relation to a minor, means-
(a) the father of the minor; or.
(b) if the father is dead, or is under any legal incapacity, or is unable to give or refuse his consent by reason of absence from Sri Lanka, the mother of the minor; or
(c) if both the father and mother of the minor are dead, or are under any legal incapacity, or are unable to give or refuse consent by reason of absence from Sri Lanka, the guardian or guardians of the minor appointed by the father or, if the father is dead, or is under any legal incapacity, by the mother or, if the mother is dead, or is under any legal incapacity, by a competent court; or
(d) if both the father and mother of the minor are dead, or are under any legal incapacity, or are unable to give or refuse consent by reason of absence from Sri Lanka, and if further-
(i) no guardian or guardians of the minor has or have been appointed by the father, mother or a competent court; or
(ii) the guardian or guardians so appointed is or are dead, or is or are under any legal incapacity, or is or are unable to give or refuse consent by reason of absence from Sri Lanka,
the District Registrar for the district in which the minor resides."
12,family,Kandyan Marriage and Divorce Act,9-Authority to give or refuse consent.txt,Any competent authority whose consent to. the marriage of a minor is required under the last preceding section may give or refuse such consent as to such authority may seem fit.
13,family,Kandyan Marriage and Divorce Act,10-Consent of District Registrar.txt,"(1) A District Registrar shall, if he is a competent authority in relation to a minor, entertain any application made under this section for his consent to the marriage of that minor under this Act.

(2) The application shall be made by means of a written petition either by the minor or by any other person “interested in the marriage of the minor.

(3) The petition shall bear a stamp or stamps of the prescribed value which shall be supplied by the applicant.

(4) The petition-
(a) shall be in the prescribed form;
(b) shall state the name and address of the applicant;
(c) shall state in what capacity he makes the application;
(d) shall, if the applicant is merely a person interested in the marriage of the minor, state the name and address of the minor;
(e) shall contain such other particulars as may be prescribed; and
(f) shall be signed by the applicant.

(5) Upon
forthwith cause a notice to be served upon the applicant and, if the applicant is merely a person interested in the marriage of the minor, upon the minor.

(6) The notice-
(a) shall indicate that at a time and date specified in the notice the District Registrar will attend at his office or at such other place as may be specified therein for the purpose of disposing of such application; and
(b) shall call upon the person to whom the notice is addressed to appear before the Registrar along with his witnesses, if any, on the date and at the time and place so indicated.

(7) The District Registrar shall attend on the date and at the time and place indicated in the notice and shall dispose of the application after such summary inquiry as he may deem necessary either on that date or on any other date to which he may adjourn or postpone the inquiry. The Registrar shall communicate his decision in writing to the applicant and, if the applicant is merely a person interested in the marriage of the minor, to the minor.

(8) Before disposing of the application the District Registrar shall give the applicant and, if the applicant is merely a person interested in the marriage of the minor, the minor and their respective witnesses, if any, an opportunity of being heard.

(9) The District Registrar shall keep a record in writing of all proceedings taken by him under this section for the purpose of disposing of the application."
14,family,Kandyan Marriage and Divorce Act,11-Appeals.txt,"(1) An appeal against the refusal of a competent authority to give his consent to the marriage of a minor under this Act shall lie to the District Court having jurisdiction in the area in which the minor resides.

(2) The appeal shall be preferred by means of a written petition either by the minor»or by any other person interested in the marriage of the minor:
Provided, however, that no appeal against the refusal to give his consent by a District Registrar in his capacity as a competent authority in relation to the minor may be preferred by any person who is merely a person interested in the marriage of the minor unless the application for such consent was made by that person.

(3) The petition of appeal shall bear a stamp or stamps of the prescribed value which shall be supplied by the appellant.

(4) The petition of appeal-
(a) shall be in the prescribed form;
(b) shall state the name and address of the appellant;
(c) shall state the name and address of the competent authority against whose decision the appeal is preferred;
(d) shall state in what capacity he makes the appeal;
(e) shall, if the appellant is merely a person interested in the marriage of the minor, state the name and address of such minor;
(f) shall contain such other particulars as may be prescribed ; and
(g) shall be signed by the appellant.

(5) Where an appeal is preferred under this section against the decision of a District Registrar in his capacity as a competent authority, the petition of appeal shall in the first instance be forwarded to that Registrar. Such Registrar shall forthwith, upon the receipt of the petition, forward it to the District Court along with the relevant record kept by him under section 10.
"
15,family,Kandyan Marriage and Divorce Act,12-Power of court on appeals.txt,"(1) Subject to the provisions of subsection (2), a District Court may, in its absolute discretion, on any appeal against the refusal of a competent authority to give his consent to the marriage of a minor under this Act, make order-
(a) confirming the decision of such authority; or
(b) setting aside that decision and consenting to the marriage.

(2) No order shall be made by a District Court under subsection (1) (b) of this section unless the court’ is satisfied that the refusal of a competent authority to consent to the marriage of a minor under this Act is unreasonable,

(3) The District Court shall cause a copy of the order to be served upon the appellant, the competent authority and, if the appellant is merely a person interested in the marriage of the minor, upon the minor.

(4) The decision of a District Court under this section on any appeal shall be final and conclusive and shall not be subject to appeal."
16,family,Kandyan Marriage and Divorce Act,13-Parties to be given an opportunity of being heard.txt,"Before disposing of any appeal under this Part, a District Court shall give the parties thereto including the minor to whose marriage the appeal relates and their respective witnesses, if any, an opportunity of being heard."
17,family,Kandyan Marriage and Divorce Act,14-Procedure at hearing of appeals.txt,"At the hearing of any appeal to a District Court under this Part, the procedure to be followed shall, save as hereinbefore provided and subject to any rules made by the Supreme Court for the purposes of this Act, be such as the court may direct either generally or in any particular case."
18,family,Kandyan Marriage and Divorce Act,15-Effect of order of court.txt,"Where, on any appeal under this Part, a District Court makes order setting aside the decision of a competent authority and consenting to the marriage of a minor, the consent of that authority required by this Act for the marriage of that minor shall be deemed for all the purposes of this Act to have been given with effect from the date of the order."
19,family,Kandyan Marriage and Divorce Act,16-Notice of prospective Kandyan marriage.txt,"Every prospective Kandyan marriage shall be notified to the appropriate Registrar hereinafter specified by the service of notice thereof on such Registrar as hereinafter provided:-
(1) Where both parties thereto have resided in the same division for a period of not less than ten days reckoned from the date of service of the notice, one party thereto shall serve notice thereof on the Divisional Registrar for that division or on the District Registrar for the district in which that division is situated.

(2) Where both parties thereto have resided in different divisions for the period referred to in paragraph (1) of this section, each party thereto shall serve notice thereof on the Divisional Registrar for the division in which that party so resided or on the District Registrar for the district in which that division is situated :
Provided that where both such divisions are situated in the same district, notice of the marriage shall, instead of being served by each party thereto on the District Registrar for that district under the preceding provisions of this section, be served by one such party on that District Registrar.

(3) Where only one party thereto has resided in any division for the period referred to in paragraph (1) of this section, that party shall serve notice thereof on the Divisional Registrar for that division or on the District Registrar for the district in which that division is situated.

(4) Where both parties thereto have not resided in any division for the period referred to in paragraph (1) of this section, one such party, being a party who has resided in a division for a period of not less than four days reckoned from the date of service of the notice, shall serve notice thereof on the Divisional Registrar for that division or on the District Registrar for the district in which that division is situated.

(5) In the event of the absence from Sri Lanka of one party thereto the other party may give notice thereof under paragraph (3) or paragraph (4) of this section in anticipation of the arrival in Sri Lanka of such party.

(6) The notice shall be substantially in the prescribed form, and-
(a) shall state-
(i) the name in full (including, if it is different, the name by which the party is commonly known), age, occupation or calling, civil condition (whether unmarried, widowed or divorced) and place of residence of each party thereto;
(ii) the nature of the marriage (whether in binna or diga); and
(iii) the length of residence of each party thereto in the district or division, as the case may be, of that Registrar;
(b) shall bear on its face or have attached thereto the written consent of any person whose consent to the marriage is required by this Act;
(c) shall contain a declaration made under paragraph (7) of this section and a certification by endorsement made under paragraph (9) of this section;
(d) shall bear a stamp or stamps of the prescribed value which shall be supplied by the party serving the notice; and
(e) shall be signed by that party.

(7) Before the notice is served on a Registrar by a party thereto, that party shall appear in person before the Registrar and, in the presence of the Registrar and two witnesses, make and subscribe a declaration to the following effect:-
(a) that to the best of that party’s knowledge and belief the particulars stated in the notice are true and correct;
(b) that there is no lawful impediment or other lawful hindrance to the marriage;
(c) that neither party thereto is a minor or that both parties thereto are minors or that one party thereto is a minor; and
(d) that the consent of any person thereto is required by this Act and that such consent has been obtained or that the consent of any person thereto is not required by this Act.

(8) The witnesses to the declaration shall be persons who are personally known to the party and, if the party is not known to the Registrar, to the Registrar. The name in full, occupation or calling and place of residence of each witness shall be entered at the foot of the declaration.

(9) After the declaration has been made and subscribed by a party thereto, the Registrar shall certify by endorsement at the foot of the declaration-
(a) that the party is not known to the Registrar and that the witnesses are known to the Registrar or that such party is known to the Registrar;
(b) that the witnesses have declared to him that they are personally known to such party; and
(c) that the declaration was made and subscribed by the party in the presence of the Registrar."
20,family,Kandyan Marriage and Divorce Act,17-Entry and publication of notice of Kandyan marriage.txt,"A Registrar shall, on the service on him of notice of a prospective Kandyan marriage, forthwith comply with the following provisions:-
(a) The Registrar shall file such notice and keep it with the records of his office.
(b) The Registrar shall enter in his Marriage Notice Register such of the particulars specified in the notice as may be prescribed (hereinafter referred to as the “marriage notice entry “).
(c) The Registrar shall publish the notice by exhibiting or causing to be exhibited a true copy of the notice or of a prescribed extract thereof at some conspicuous place in his office for a continuous period of at least twelve days reckoned from the date of the marriage notice entry.
(d) Where both parties to the marriage resided in different divisions for the period referred to in paragraph (2) of section 16, the Registrar shall-
(i) if he is a Divisional Registrar; or
(ii) if he is a District Registrar and if any one of such divisions is not situated in his district,
furnish a certified copy of the notice to the party by whom the notice was served."
21,family,Kandyan Marriage and Divorce Act,18-Issue of certificates in respect of Kandyan marriages.txt,"The following provisions shall apply in any case where notice of a prospective Kandyan marriage has been served on a Registrar under this Act:-
(1) Subject as hereinafter provided, the- Registrar shall, upon application made in that behalf by a party thereto, issue to that party a. certificate (hereinafter referred to as a ” marriage notice certificate “) in respect of the marriage.

(2) The Registrar shall not issue the marriage notice certificate-
(a) if any lawful impediment or other lawful hindrance to the issue thereof has been shown to him; or
(b) if, being a District Registrar, any objection to the issue thereof has been made to him under this Act, unless an order overruling that objection has been made by him under section 21; or
(c) if, being a Divisional Registrar, any such objection has been made to him, except upon the receipt by him of a certified copy of an order under section 21 overruling that objection.

(3) Where the provisions of paragraph (1) or paragraph (3) or paragraph (4) of section 16 apply in the case of the marriage, the Registrar-
(a) if he is a District Registrar, shall not issue the marriage notice certificate-
(i) before the expiry of a period of twelve days reckoned from the date of the marriage notice entry made by him in respect thereof, unless a party thereto makes application in that behalf and also makes and subscribes the declaration required by paragraph (5) of this section; or
(ii) after the expiry of a period of three months reckoned from that date; and
(b) if he is a Divisional Registrar, shall not issue the marriage notice certificate-
(i) before the expiry of a period of twelve days reckoned from the date of the marriage notice entry made by him in respect thereof, except under the authority of a special licence issued under section 19; or
(ii) after the expiry of a period of three months reckoned from that date.

(4) Where the provisions of paragraph (2) of section 16 apply in the case of the marriage, the Registrar-
(a) if he is a District Registrar in whose district both parties thereto resided for the period referred to in that paragraph, shall not issue the marriage notice certificate-
(i) before the expiry of a period of twelve days reckoned from the date of the marriage notice entry made by him in respect thereof, unless a party thereto makes application in that behalf and also makes and subscribes the declaration required by paragraph (5) of this section; or
(ii) after the expiry of a period of three months reckoned from that date; and
(b) if he is a Divisional Registrar, shall not issue the marriage notice certificate-
(i) except upon the production of a certified copy of the notice thereof served on any other Registrar under that paragraph; or
(ii) before the expiry of a period of twelve days reckoned from the date of the marriage notice entry made by him in respect thereof or from the date of the marriage notice entry made by such other Registrar in respect thereof, whichever date is later, except under the authority of a special licence issued under section 19 or upon the production : of a marriage notice certificate issued by such other Registrar in respect of the marriage ; or
(iii) after the expiry of a period of three months reckoned from the earlier of the two dates referred to in the last preceding sub-paragraph of this paragraph; and
if he is a District Registrar in whose district only one party thereto resided for the period referred to in that paragraph, shall not issue the marriage notice certificate-
(i) except upon the production of a certified copy of the notice thereof served on any other Registrar under that paragraph; or
(ii) before the expiry of a period of twelve days reckoned from the date of the marriage notice entry made by him in respect thereof or from the date of the marriage notice entry made by such other Registrar in respect thereof, whichever date is later, unless a party thereto makes application in that behalf and also makes and subscribes the declaration required by paragraph (5) of this section or produces a marriage notice certificate issued by such other Registrar in respect of the marriage ; or
(iii) after the expiry of a period of three months reckoned from the earlier of the two dates referred to in the last preceding sub-paragraph.

(5) Any party to the marriage who desires to obtain a marriage notice certificate from a District Registrar before the expiry of the period referred to in paragraph (3) (a) (i) or paragraph (4) (a) (i) or paragraph (4) (c) (ii) of this section shall appear in person before that Registrar and make and subscribe a declaration to the following effect:-
(i) that there is no lawful impediment or other lawful hindrance to the marriage; and
(ii) that the consent of any person to the marriage is required by this Act and that such consent has been obtained or that the consent of any person to the marriage is not required by this Act.
The declaration shall bear a stamp or stamps of the prescribed value which shall be supplied by the party making the declaration.
(6) A marriage notice certificate issued by a Registrar under this section-
(a) shall be in the prescribed form;
(b) shall contain the prescribed particulars; and (c) shall be signed by the Registrar.
"
22,family,Kandyan Marriage and Divorce Act,19-Special licences for issue of marriage notice certificates.txt,"(1) The following provisions shall apply in the case of a prospective Kandyan marriage in respect of which a special licence is required for the issue of a marriage notice certificate before the expiry of the period referred to in paragraph (3) (b) (i) of section 18 ;-
(a) Where notice of the marriage has been served upon the Divisional Registrar for a division under paragraph (1) or paragraph (3) or paragraph (4) of section 16, a party to the marriage may apply to the District Registrar in whose district that division is situated or to such Divisional Registrar for a special licence authorizing such District Registrar or Divisional Registrar to issue a certificate before the expiry of that period.
(b) Subject as hereinafter provided, the District Registrar or such Divisional Registrar shall, upon the receipt of the application, issue the licence.
(c) The District Registrar or such Divisional Registrar shall not issue the licence-
(i) if any lawful impediment or other lawful hindrance to the issue of the certificate has been shown to him; or
(ii) if any objection has been made under this Act to the issue of the certificate, unless an order has been made under section 21 overruling that objection.
(d) The District Registrar or such Divisional Registrar shall not issue the licence except upon the production of a certified copy of the notice served on the. Divisional Registrar.
(e) The District Registrar or such Divisional Registrar shall not issue the licence unless the applicant therefor makes and subscribes the declaration required by subsection (3) of this section.

(2) The following provisions shall apply in the case of a prospective Kandyan marriage in respect of which a special licence is required for the issue of marriage notice certificates before the expiry of the period referred to in paragraph (4) (b) (ii) of section 18:-
(a) Where notice of the marriage has been served upon two Divisional Registrars under paragraph (2) of section 16, a party to the marriage may apply to the District Registrar in whose district the division of either such Divisional Registrar is situated, or to either of such Divisional Registrars, for a special licence authorizing each such Divisional Registrar to issue a certificate before the expiry of that period.
(b) Subject as hereinafter provided, the District Registrar or either of such Divisional Registrars shall, upon the receipt of the application, issue the licence.
(c) The District Registrar or such Divisional Registrar shall not issue the licence-
(i) ..if any lawful impediment or other lawful hindrance to the issue of either such certificate has been shown to him, or 
(ii) if any objection has been made under this Act to the issue of either such certificate, unless an order has been made under section 21 overruling that objection.
(d) The District Registrar or such Divisional Registrar shall not issue the licence except upon the production of a certified copy of the notice served on each such Divisional Registrar.
(e) The District Registrar or such Divisional Registrar shall not issue the licence unless the applicant therefor makes and subscribes the declaration required by subsection (3) of this section.

(3) Before a special licence is issued, one of the parties to the intended marriage shall appear in person before the Divisional Registrar or the District Registrar, or where notice has been given to two Divisional Registrars, before either of the two Registrars and make and subscribe a written declaration to the following effect;-
(a) that there is no lawful impediment or other lawful hindrance to the marriage;
(b) that the consent of any person to the marriage is required by this Act and that such consent has been obtained or that the consent of any person to the marriage is not required by this Act; and
(c) that no objection to the issue of the certificate has been made under this Act or that any such objection has been made but has been overruled by order made under section 21.
(4) Where the declaration is made before the District Registrar it shall bear stamps to the value of thirty rupees to be supplied by the party making the declaration and where the declaration is made before the Divisional Registrar it shall be accompanied by a receipt issued by the District Registrar in proof of payment of a sum of thirty rupees."
23,family,Kandyan Marriage and Divorce Act,20-Objections to issue of marriage notice certificates.txt,"(1) Any person-
(a) being a person whose consent to a Kandyan marriage is required by this Act; or
(b) being a person who is interested in such marriage,
may object in writing to the issue of a marriage notice certificate in respect thereof.
(2) Every objection to the issue of such a certificate-
(a) shall be made to the Registrar who is empowered by this Act to issue the certificate;
(b) shall be substantially in the prescribed form; (c) shall state-
(i) the name and address of the objector;
(ii) whether the objector makes the objection in his capacity as a person whose consent to the marriage is required by this Act or as a person who is interested in the marriage; and
(iii) the ground or grounds on which the objection is made ; and
(d) shall be signed, in the presence of such Registrar, by the objector and two credible witnesses who are known to such objector.

"
24,family,Kandyan Marriage and Divorce Act,21-Inquiries into objections to issue of certificates.txt,"(1) Upon the receipt of an objection to the issue of a marriage notice certificate, a Registrar shall, if he is a Divisional Registrar, forthwith forward such objection marriage notice to the District Registrar for the district in which his division is situated.

(2) Upon the receipt of an objection to the issue of a marriage notice certificate in respect of any prospective Kandyan marriage, made or forwarded to him under section 20 or under this section, a District Registrar shall forthwith cause a notice to be served upon each party to the marriage and the objector.

(3) The notice-
(a) shall state the nature of the objection to the issue of the certificate ;
(b) shall indicate that at a time and date specified in the notice the District Registrar will attend at his office or at such other place as he may specify in the notice for the purpose of hearing such objection; and
(c) shall call upon the person to whom the notice is addressed to appear before the District Registrar along with his witnesses, if any, on the date and at the time and place so indicated.

(4) The District Registrar shall attend on the date and at the time and place indicated in the notice and shall make order upholding or over ruling the objection after such summary inquiry as he may deem necessary either on that date or on any other date to which he may adjourn or postpone the inquiry.

(5) The District Registrar shall cause a certified copy of the order to be served on each party to the inquiry and, if the objection was forwarded to him by a Divisional Registrar under this section, on the Divisional Registrar.

(6) Before disposing of the objection, the District Registrar shall give the objector, each party to the marriage and their respective witnesses, if any, an opportunity of being heard,

(7) A District Registrar shall keep a record in writing of all proceedings taken by him under this section for the purpose of disposing of an objection to the issue of a marriage notice certificate.

"
25,family,Kandyan Marriage and Divorce Act,22-Solemnization of Kandyan marriages.txt,"(1) A Registrar, on whom notice of 3 prospective Kandyan marriage has been served under this Act, shall, unless there is any lawful impediment or other lawful hindrance to the marriage, solemnize the marriage in the manner hereinafter provided upon the production by the parties to the marriage of the following document or documents, as the case may be:-
(a) where the provisions of paragraph (1) or paragraph (3) or paragraph (4) of section 16 apply in the case of the marriage, upon the production of the marriage notice certificate issued by such Registrar;
(b) where such Registrar is a District Registrar and where both parties to the marriage resided in different divisions (being divisions situated in his district) for the period referred to in paragraph (2) of section 16, upon the production of the marriage notice certificate issued by him;
(c) where such Registrar is a District Registrar and where both parties to the marriage resided in different divisions (one of which is not situated in his district) for the period referred to in paragraph (2) of section 16, upon the production of the following marriage notice certificates, namely, the marriage notice certificate issued by such Registrar and the marriage notice certificate issued by any other Registrar on whom notice of the marriage was served under that paragraph;
(d) where such Registrar is a Divisional Registrar and where the provisions of paragraph (2) of section 16 apply in the case of the marriage, upon the production of the following marriage notice certificates, namely, the marriage notice certificate issued by such Registrar and the marriage notice certificate issued by any other Registrar on whom notice of the marriage was served under that paragraph.

(2) The marriage shall be solemnized by the Registrar-
(a) in the presence of both parties to the marriage and two witnesses ;
(b) in any authorized place;
(c) at any time between the authorized hours on any day; and
(d) in accordance with the provisions of subsection (3) of this section.

(3) Such marriage shall be solemnized-
(a) by the Registrar asking the male party to the marriage, and at the same time causing such party to take the female party by the hand, ” Do you take this woman (her name in full must be mentioned) to be your wedded wife ? “; and
(b) after such male party has answered the question in the affirmative, by the Registrar asking the female party to the marriage, and at the same time causing her to take the male party by the hand, ” Do you take this man (his name in full must be mentioned) to be your wedded husband ?”; and
(c) by the female party answering the question in the affirmative."
26,family,Kandyan Marriage and Divorce Act,23-Registration of Kandyan marriages.txt,"(1) Immediately after the solemnization of a Kandyan marriage by a Registrar under section 22, the Registrar shall comply provisions:- with the following
(a) The Registrar shall register accurately in his Marriage Register the following particulars relating to the marriage;-
(i) the name in full, age, civil condition (whether unmarried, widowed or divorced), occupation or calling and place of residence of each party to the marriage ;
(ii) the nature of the marriage (whether in binna or diga) which the Registrar is hereby required to ascertain from the parties thereto prior to making the entry ; and
(iii) the name in full, occupation or calling and place of residence of each witness to the marriage.
(b) The Registrar shall cause the marriage registration entry consisting of the particulars registered in his Marriage Register under the preceding provisions of this section (hereinafter referred to as the ” marriage registration entry “) to be signed by both parties and the witnesses to the marriage.
(c) After the marriage registration entry has been signed by both parties and the witnesses to the marriage, the Registrar shall, after satisfying himself that the particulars relating to the marriage stated in the marriage registration entry correspond with the particulars in the marriage notice certificate or certificates, as the case may be, issued under this Act in respect of the marriage, append his own signature to the entry.
(d) If the signature of any person in the marriage registration entry appears to the Registrar to be illegible, or if any person instead of signing such entry has affixed his thumb impression, the Registrar shall write the name of such person above such signature or thumb impression, as the case may be.

(2) The marriage registration entry-
(a) shall be prepared in triplicate, that is to say, the original, the second copy (hereinafter referred to as the ” duplicate”), and a third copy which shall bear an endorsement under the hand of the registrar to the effect that it is issued under section 23A; and
(b) shall be made-
(i) in the presence of both parties and the witnesses to the marriage;
(ii) in any authorized place; and
(iii) at any time between the authorized hours on any day.

(3) The marriage registration entry made under this section in respect of the marriage shall for all purposes constitute the registration of the marriage.




"
27,family,Kandyan Marriage and Divorce Act,23A-Issue of copy of marriage registration entry free.txt,"The third copy referred to in the preceding section shall forthwith, free of charge, be delivered or transmitted by post to the female party to the marriage by the registrar."
